samp_id,NDWI,sample,farm,sample_num
Jackson_3_dvac,0.5246391656945919,dvac,Jackson,3
Jackson_3_sweep,0.5241506122802934,sweep,Jackson,3
Norman Park_1_dvac,0.502054928083354,dvac,Norman Park,1
Norman Park_1_sweep,0.502054928083354,sweep,Norman Park,1
Norman Park_2_dvac,0.5185486614830351,dvac,Norman Park,2
Norman Park_2_sweep,0.5185486614830351,sweep,Norman Park,2
Norman Park_3_dvac,0.44335565197386817,dvac,Norman Park,3
Norman Park_3_sweep,0.44335565197386817,sweep,Norman Park,3
Padgett1_1_dvac,0.5661975673735048,dvac,Padgett1,1
Padgett1_1_sweep,0.5350321396119595,sweep,Padgett1,1
Padgett1_2_dvac,0.5608636263954063,dvac,Padgett1,2
Padgett1_2_sweep,0.5608636263954063,sweep,Padgett1,2
Padgett1_3_dvac,0.5447764104161432,dvac,Padgett1,3
Padgett1_3_sweep,0.5689861589512542,sweep,Padgett1,3
Padgett2_1_dvac,0.5762112942761072,dvac,Padgett2,1
Padgett2_1_sweep,0.5762112942761072,sweep,Padgett2,1
Padgett2_2_dvac,0.5562869776810284,dvac,Padgett2,2
Padgett2_2_sweep,0.5562869776810284,sweep,Padgett2,2
Padgett2_3_dvac,0.2852913631262478,dvac,Padgett2,3
Padgett2_3_sweep,0.2852913631262478,sweep,Padgett2,3
Parrish Dry2_1_dvac,0.4043297341870139,dvac,Parrish Dry2,1
Parrish Dry2_1_sweep,0.4043297341870139,sweep,Parrish Dry2,1
Parrish Dry2_2_dvac,0.3898870514720433,dvac,Parrish Dry2,2
Parrish Dry2_2_sweep,0.3898870514720433,sweep,Parrish Dry2,2
Parrish Dry2_3_dvac,0.37638796963103105,dvac,Parrish Dry2,3
Parrish Dry2_3_sweep,0.37638796963103105,sweep,Parrish Dry2,3
Quincy_1_dvac,0.23852748760561948,dvac,Quincy,1
Quincy_1_sweep,0.23852748760561948,sweep,Quincy,1
